id,name,state,district,latitude,longitude,area_coverage,altitude,description,source,submitted_at,user
1650,Prithavi Nath Khargupur Gonda,Uttar Pradesh,,27.358796,81.984958,,,,approved,,
1651,Jhali Dham Gonda (Khargupur),Uttar Pradesh,,27.371678,81.989765,,,,approved,,
1652,Akhand Param Dham Sirsiya,Uttar Pradesh,,27.788648,82.098645,,,,approved,,
1653,Kali Temples Bhinga shravasti,Uttar Pradesh,,27.707239,81.935241,,,,approved,,
1654,Sitadwar Gilaula,Uttar Pradesh,,27.545757,81.801732,,,,approved,,
1655,Devi Patan Tulsipur Balrampur,Uttar Pradesh,,27.515741,82.422312,,,,approved,,
1656,Shivala bag Nanpara Bahraich,Uttar Pradesh,,27.873893,81.498014,,,,approved,,
1657,Jangali Nath Basthanwa Bahraich,Uttar Pradesh,,28.144416,81.441467,,,,approved,,
1658,Mai Mata Bahraich,Uttar Pradesh,,27.565041,81.593399,,,,approved,,
1659,Mangali Nath Awadhes Gaon Nawabganj Bahraich,Uttar Pradesh,,27.569093,81.531005,,,,approved,,
1660,Karikot Village Karikot block Mehipurwa Bahraich,Uttar Pradesh,,27.586165,81.611706,,,,approved,,
1661,Van Satti Devi Bhabhar (Sohelwa) Balrampur,Uttar Pradesh,,27.467430,82.123638,,,,approved,,
1662,Vibhuti Nath East Sohelwa (Balrampur),Uttar Pradesh,,27.397410,82.152849,,,,approved,,
1663,Son Pathari East Sohelwa (Balrampur),Uttar Pradesh,,27.397448,82.150403,,,,approved,,
